Customer Name,Drink,Flavours,Milk,Qty,Price,Branch,Payment Type,Card Number,Date/Time
Emily,Espresso,No Flavour,No milk,1,£19.25,Ealing,Cash,4028846347261730,06/03/2024 12:28
,Cappuccino,Caramel,Coconut,3,£11.24,Camden,Card,4538523003139294,10/08/2024 04:33
Tom,Flat White,No Flavour,Oa,2,£12.37,Croydon,Mobile,4327772718673533,07/03/2024 17:46
Emily,Hot Chocolate,Vanilla,Oa,3.0,Three Pounds,Ealing,Cash,4924247434271343,06/06/2024 18:01
Emily,Matcha Latte,Caramel,Semi-Skimmed Milk,3,£22.09,Croydon,Mobile,4821478553468530,06/11/2024 19:37
Priya,Americano,Caramel,No milk,1,£21.92,Brixton,Cash,4869768867945579,24/01/2024 04:56
Tom,Americano,Hazelnut,Soya,2,£13.59,Nottinghill,Mobile,4688393707139924,20/01/2024 14:08
Ali,Cappuccino,Hazelnut,Coconut,1,£19.59,Soho,Mobile,4198258376721627,12/03/2024 10:39
Emily,Flat White,Caramel,Soya,3,£24.63,Croydon,Mobile,4919850785779293,23/03/2024 11:27
Dave,Hot Chocolate,Vanilla,Soya,2,£11.06,Croydon,Cash,4122063891375591,12/08/2024 05:49
Daniel,Tea,English Breakfast,No milk,3,£16.31,Ealing,Card,4237030593864145,18-08-2024 12:45
Priya,Americano,Vanilla,No milk,1,£two,Ealing,Mobile,4798841563003015,22/12/2024 23:32
Priya,Latte,Caramel,1% Milk,4,3.50,Croydon,Cash,4266090232930758,21/06/2024 15:38
Jessica,Hot Chocolate,Hazelnut,Semi-Skimmed Milk,2,£24.6,Soho,Card,notacard,05/01/2024 11:55
Chris,Hot Chocolate,No Flavour,Soya,3,£13.09,Brixton,Card,4616923769863489,22/07/2024 14:21
Chris,Americano,No Flavour,Oa,,£18.11,Croydon,Mobile,4795857901024418,04/05/2024 01:27
Ali,Cappuccino,Hazelnut,Semi-Skimmed Milk,1,£8.04,Camden,Mobile,4316920838733987,02/10/2024 13:37
Dave,Tea,Oolong,Coconut,2,£25.54,Camden,Cash,4373454441159343,03/02/2024 19:50
Jessica,Flat White,No Flavour,1% Milk,1,£16.68,Brixton,Card,4534776025482705,10/06/2024 03:34
Tom,Flat White,Vanilla,Semi-Skimmed Milk,3,£9.83,Nottinghill,Mobile,4140389817102629,23/08/2024 19:44
Sarah,Mocha,Hazelnut,1% Milk,2,£20.37,Camden,Card,4802768981974986,10/04/2024 11:46
,Tea,English Breakfast,1% Milk,2,£two,Croydon,Mobile,4975480966861362,18/10/2024 21:05
Tom,Latte,Hazelnut,Soya,1,£two,Croydon,Card,,09/02/2024 18:29
Sarah,Flat White,Vanilla,Semi-Skimmed Milk,3,£25.79,Ealing,Card,4602941637808001,18-08-2024 12:45
Tom,Latte,Vanilla,No milk,2,£24.86,,Mobile,4112337862346677,04/05/2024 10:41
Dave,Americano,No Flavour,1% Milk,3,£16.84,Soho,Card,4736441998377131,16/03/2024 21:53
Priya,Mocha,Hazelnut,Soya,1,£19.77,Ealing,,notacard,22/07/2024 21:13
Sarah,Tea,Green,Oa,3,£12.09,Brixton,Cash,4374612444453237,06/04/2024 02:31
Sarah,Flat White,Caramel,Oa,3,£15.62,Croydon,Mobile,1234abcd5678,26/09/2024 04:26
Daniel,Espresso,Vanilla,Semi-Skimmed Milk,2,£19.81,Brixton,Card,4049638457752173,02/02/2024 02:32
Jessica,Americano,Hazelnut,No milk,2,£9.84,Nottinghill,Cash,4470767933660924,33/13/2024 10:00
Chris,Mocha,Hazelnut,Semi-Skimmed Milk,4,£14.56,Nottinghill,Mobile,4263161976129965,28/07/2024 15:44
Priya,Hot Chocolate,No Flavour,Oa,2,£20.73,Ealing,Card,4472071631065028,2024/08/18
Priya,Hot Chocolate,Vanilla,Soya,3,£10.35,Brixton,Cash,4337197338886230,08/08/2024 18:46
,Espresso,Vanilla,Coconut,1,£25.58,Camden,Mobile,4147880051689186,28/09/2024 22:57
Jessica,Americano,No Flavour,No milk,2,£10.69,Nottinghill,Mobile,4331055330092095,02/02/2024 04:01
,Hot Chocolate,No Flavour,Oa,3,£8.12,Brixton,Cash,4282367053253615,11/02/2024 12:12
Tom,Hot Chocolate,Hazelnut,1% Milk,3,£9.94,Brixton,Card,4173155990911510,18-08-2024 12:45
Ali,Espresso,Vanilla,Soya,1,£9.88,Croydon,Card,4887077026945598,03/04/2024 21:00
Tom,Cappuccino,Caramel,Soya,3,£17.85,Nottinghill,Card,4803147246438763,11/02/2024 12:34
Tom,Tea,Oolong,Coconut,two,£11.42,Brixton,Cash,4456051826899324,02/12/2024 03:49
Chris,Mocha,No Flavour,Oa,3,£11.96,Nottinghill,Cash,4612547617075531,24/03/2024 14:38
Sarah,Matcha Latte,No Flavour,Soya,1,£15.73,Ealing,Cash,4095507846738660,2024/08/18
Emily,Americano,No Flavour,No milk,3,£7.18,Camden,Card,4567674469393687,07/11/2024 13:35
Daniel,Mocha,Vanilla,Soya,1,£8.79,Soho,Mobile,4107242177670900,17/05/2024 05:33
Tom,Tea,Peppermint,Coconut,1,3.50,Nottinghill,Card,4385294341987253,09/10/2024 17:41
Jessica,Hot Chocolate,Hazelnut,Coconut,3,£19.4,Croydon,Mobile,4386135147390369,16/09/2024 13:25
Emily,Matcha Latte,Vanilla,Coconut,1,£12.46,Nottinghill,Cash,4152268799619204,05/07/2024 07:05
Jessica,Espresso,Hazelnut,Coconut,3,£20.76,Ealing,Cash,4112398729487342,
Emily,Latte,Hazelnut,Coconut,4,£21.98,Croydon,Mobile,4366610359638468,33/13/2024 10:00
Sarah,Espresso,Caramel,Coconut,4,£14.39,London Bridge,,4285465871427267,03/06/2024 11:02
